,dp,ur,y3
1971-03-31,0.005012541823544492,0.059333333333333335,0.0111
1971-06-30,0.012422519998557036,0.05900000000000001,0.009649999999999999
1971-09-30,0.007380107297622729,0.06033333333333334,0.013500000000000002
1971-12-31,0.0073260400920731605,0.059333333333333335,0.01115
1972-03-31,0.007272759329079559,0.057666666666666665,0.00845
1972-06-30,0.007220247973487304,0.057,0.009275
1972-09-30,0.009546611883579637,0.05566666666666666,0.00995
1972-12-31,0.009456335242035596,0.05366666666666666,0.011850000000000001
1973-03-31,0.02095536517598795,0.04933333333333333,0.013525
1973-06-30,0.018265347977293178,0.04933333333333333,0.01565
1973-09-30,0.02237229775453331,0.048,0.020025
1973-12-31,0.02404487425400248,0.04766666666666666,0.01805
1974-03-31,0.03188367840522188,0.051333333333333335,0.019424999999999998
